Face 1, [Node 3500] nan nan nan nan nan nan nan nan 

  Angle       Time     IS     IA     IP     AS     AA     AP   IS+IA   IS+IA+IP   AS+AA   AS+AA+AP
 180.00   43119.93   0.00   0.00   0.00   0.00   0.00   0.00    0.00       0.00    0.00       0.00
 198.00   47431.93   0.00   0.00   0.00   0.00   0.00   0.00    0.00       0.00    0.00       0.00
 216.00   51743.92   0.00   0.00   0.00   0.00   0.00   0.00    0.00       0.00    0.00       0.00
 234.00   56055.92   0.00   0.00   0.01   0.00   0.00   0.01    0.00       0.01    0.00       0.01
 252.00   60367.91   0.00   0.00   0.02   0.00   0.00   0.01    0.00       0.02    0.00       0.01
 270.00   64679.90   0.00   0.00   0.10   0.00   0.00   0.07    0.00       0.10    0.00       0.07
 288.00   68991.90   0.00   0.00   0.52   0.00   0.00   0.34    0.00       0.52    0.00       0.34
 306.00   73303.89   0.00   0.02   0.87   0.00   0.00   0.58    0.02       0.90    0.00       0.58
 324.00   77615.88   0.00   0.17   1.48   0.00   0.02   0.97    0.17       1.65    0.02       0.99
 342.00   81927.88   0.00   0.59   2.35   0.00   0.06   1.55    0.59       2.94    0.06       1.61
 360.00   86239.87   0.00   1.36   3.39   0.00   0.14   2.24    1.36       4.75    0.14       2.37
                                                                                                  
Average              0.00   1.03   1.40   0.00   0.10   0.92    1.03       2.43    0.10       1.03


Face 23, [Node 1501] nan nan nan nan nan nan nan nan 

  Angle       Time       IS     IA     IP      AS     AA     AP    IS+IA   IS+IA+IP   AS+AA   AS+AA+AP
   0.00       0.00   659.93   0.91   1.83   65.99   0.09   1.20   660.84     662.66   66.08      67.29
  18.00    4311.99   659.91   1.32   1.95   65.99   0.13   1.29   661.23     663.18   66.12      67.41
  36.00    8623.99   659.88   0.98   0.87   65.99   0.10   0.57   660.86     661.73   66.09      66.66
  54.00   12935.98   659.83   0.43   0.38   65.98   0.04   0.25   660.27     660.65   66.03      66.28
  72.00   17247.97   659.78   0.25   0.20   65.98   0.03   0.13   660.03     660.23   66.00      66.14
  90.00   21559.97   659.72   0.05   0.05   65.97   0.00   0.04   659.77     659.83   65.98      66.01
 108.00   25871.96   659.67   0.04   0.04   65.97   0.00   0.02   659.71     659.75   65.97      65.99
 126.00   30183.95   659.62   0.00   0.00   65.96   0.00   0.00   659.62     659.62   65.96      65.96
 144.00   34495.95   659.59   0.00   0.00   65.96   0.00   0.00   659.59     659.59   65.96      65.96
