Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.21,2,0.3070089306953503634858164708,0.309517413372126,0.309517413372126,0.307383315849539,0.307383315849539,0.0557471614512298,0.0665152037340586865649505872,0.0655704613388809745649505872,0.000944742395177712,2.0240803778461467232683179728,567.19636254401889141517567248,575.82978768257819068476268979,8675649000
12.22,2,0.3069913044579836420101456331,0.309499860103827,0.309499860103827,0.307365668117679,0.307365668117679,0.0557501745760114,0.0665176024230970025920640440,0.0655660906865819195920640440,0.000951511736515083,2.0239006436125788287460339921,567.19487470733278889327123791,575.8110599289237466474776707,8682754000
12.23,2,0.3069737087512600558457491025,0.309482337658549,0.309482337658549,0.307348050953692,0.307348050953692,0.0557531944736915,0.0665200089566158977632639586,0.0655617278787634427632639586,0.000958281077852455,2.023721228697397546586294866,567.19338620012077355244493135,575.79233364879538696550508749,8689859000
12.24,2,0.3069562462765990517433782602,0.309464948776459,0.309464948776459,0.307330567184239,0.307330567184239,0.0557562168725806,0.0665224226511080274293741013,0.0655573722319182014293741013,0.000965050419189826,2.0235421134146941877590234538,567.1918972933669709421342264,575.77360918194074954430893773,8696964000
12.25,2,0.3069387151599569614594439222,0.309447491471809,0.309447491471809,0.307313014689099,0.307313014689099,0.0557592491514889,0.0665248438316878812246320422,0.0655530240711606832246320422,0.000971819760527198,2.0233633069734527928169334911,567.19050708538153130984786643,575.7549798302802476591801482,8704070000
12.26,2,0.3069212154469356861528225362,0.309430065827325,0.309430065827325,0.307295493635875,0.307295493635875,0.0557622871314723,0.0665272718147938227974905118,0.0655486827129292517974905118,0.000978589101864571,2.0231847896862135699170409955,567.18911642723386285855735295,575.73635231324489337861878385,8711175000
12.27,2,0.3069038480914347047764675611,0.309412772871536,0.309412772871536,0.307278105101577,0.307278105101577,0.0557653276598576,0.0665297069755177676092161362,0.0655443485323158246092161362,0.000985358443201943,2.0230065721937070272163619815,567.18772548762813281119940593,575.71772674529379412041393528,8718281000
12.28,2,0.3068864112881249366507598218,0.30939541066243,0.30939541066243,0.30726064703478,0.30726064703478,0.0557683773966712,0.0665321489221546638019485080,0.0655400211376153478019485080,0.000992127784539316,2.0228286431695471404762147474,567.18643329829068698773550593,575.69919648721209641573247154,8725386000
12.29,2,0.3068690076926855532414212748,0.309378081955786,0.309378081955786,0.30724322221635,0.30724322221635,0.0557714338294545,0.0665345987299013026392114349,0.0655357016040246146392114349,0.000998897125876688,2.0226510333109917178536153093,567.18514051692488612019083913,575.68066782865979355930629489,8732492000
12.30,2,0.3068517346488566948771491976,0.309360884105808,0.309360884105808,0.307225928108733,0.307225928108733,0.0557744921573452,0.0665370549984327243325664076,0.0655313885312186643325664076,0.00100566646721406,2.0224737023968242675055796845,567.18384738108488028781429135,575.66214116319383676040863421,8739597000
12.31,2,0.3068343939615588519542379294,0.30934361882046,0.30934361882046,0.307208566275158,0.307208566275158,0.0557775599887668,0.0665395184112451901810979959,0.0655270826026937601810979959,0.00101243580855143,2.0222966699029075651934261679,567.18265294309673103839586075,575.64370977620453970312107992,8746703000
